Date,BUDAPEST,BARANYA,BACS,BEKES,BORSOD,CSONGRAD,FEJER,GYOR,HAJDU,HEVES,JASZ,KOMAROM,NOGRAD,PEST,SOMOGY,SZABOLCS,TOLNA,VAS,VESZPREM,ZALA
4/1/2010,166,37,50,6,43,53,83,31,95,30,69,26,16,88,23,1,42,20,32,26
11/1/2010,113,23,52,11,28,23,33,21,44,24,29,30,14,62,18,14,21,5,13,12
18/01/2010,62,56,20,11,33,29,40,21,46,18,27,23,13,81,9,13,8,13,11,8
25/01/2010,82,103,52,3,42,29,48,38,77,33,54,33,23,96,41,14,9,40,35,15
1/2/2010,56,50,26,12,59,4,46,43,31,40,54,22,12,99,59,22,15,35,43,2
8/2/2010,46,47,82,12,42,17,34,31,46,35,67,22,38,129,25,3,21,10,75,7
15/02/2010,48,127,87,9,93,24,31,46,63,47,112,34,11,104,39,42,38,26,29,5
22/02/2010,124,83,102,13,63,32,37,62,76,20,83,61,20,113,39,44,18,11,42,2
1/3/2010,74,101,118,15,35,12,24,38,40,41,59,22,9,128,18,77,29,4,41,7
8/3/2010,116,68,86,13,54,17,61,95,109,26,98,83,13,124,25,89,13,10,36,5
15/03/2010,120,135,96,17,37,52,51,64,113,28,68,43,11,137,1,2,14,3,41,4
22/03/2010,101,123,110,16,145,41,72,72,86,25,92,85,29,190,34,34,26,14,83,2
29/03/2010,121,112,88,11,85,55,63,93,108,24,58,55,26,148,36,30,59,13,57,16
5/4/2010,160,80,108,17,52,11,34,75,54,15,52,52,11,143,23,22,35,17,39,6
12/4/2010,199,140,96,28,105,61,101,78,94,17,53,39,26,272,23,39,73,32,118,25
19/04/2010,147,106,238,17,79,39,75,84,81,12,47,81,16,214,33,63,26,18,71,13
26/04/2010,130,116,117,18,40,19,55,70,74,5,43,49,19,191,37,22,55,18,105,15
3/5/2010,175,96,167,4,82,28,78,81,71,42,34,52,37,243,33,32,17,14,101,20
10/5/2010,156,115,62,27,78,58,56,59,93,11,28,43,20,151,23,12,47,9,133,14
17/05/2010,185,102,160,25,65,17,65,85,68,42,37,95,20,216,27,3,15,29,99,11
24/05/2010,123,17,83,17,54,2,33,59,46,18,87,37,26,145,18,3,42,7,141,30
31/05/2010,151,84,135,11,68,49,99,97,68,35,78,52,41,221,36,8,46,8,126,31
7/6/2010,150,74,94,8,48,36,46,70,49,28,120,52,17,205,55,3,39,9,102,13
14/06/2010,169,66,57,25,44,33,77,104,21,24,84,80,21,168,35,9,61,4,97,26
21/06/2010,154,42,31,17,70,32,72,42,61,50,103,54,8,253,48,61,39,5,120,50
28/06/2010,68,25,43,12,24,29,36,35,23,7,44,20,15,97,26,8,19,7,43,11
5/7/2010,93,44,48,21,51,13,29,54,21,20,71,20,8,70,37,40,23,7,50,24
12/7/2010,74,34,16,8,26,11,49,48,7,12,19,18,3,56,31,10,4,4,33,6
19/07/2010,56,16,6,4,8,3,13,24,12,1,16,2,4,37,12,9,17,10,40,9
26/07/2010,35,19,6,2,12,16,3,21,9,4,10,1,2,26,19,9,7,2,33,5
2/8/2010,24,3,3,2,6,6,3,10,4,0,7,3,3,7,2,1,7,0,5,6
9/8/2010,11,2,4,0,7,4,10,5,3,0,8,2,7,8,12,1,0,0,12,3
16/08/2010,35,7,4,2,5,15,4,1,3,1,5,2,1,4,6,0,0,1,4,4
23/08/2010,11,1,0,5,13,0,1,0,0,2,8,3,1,1,1,1,2,0,4,6
30/08/2010,22,0,2,1,6,1,2,1,1,0,3,0,2,8,4,1,3,2,0,3
6/9/2010,8,1,1,1,1,0,1,0,3,0,2,2,2,6,4,0,4,0,2,4
13/09/2010,5,2,1,1,4,2,3,0,3,2,2,0,2,3,3,4,0,6,0,0
20/09/2010,23,0,13,2,2,1,2,2,0,1,6,1,1,12,5,2,2,2,3,18
27/09/2010,27,10,4,3,1,8,0,2,2,2,16,3,0,18,7,0,0,15,4,1
