"","Date","Region","Value","lat","long"
"1",2010-01-04,"BUDAPEST",166,47.4978789,19.0402383
"2",2010-01-04,"BARANYA",37,45.9714436,18.1669246
"3",2010-01-04,"BÁCS-KISKUN",50,46.5809294,19.5128532
"4",2010-01-04,"BÉKÉS",6,46.7862993,20.9820736
"5",2010-01-04,"BORSOD-ABAÚJ-ZEMPLÉN",43,48.2397936,21.1353474
"6",2010-01-04,"CSONGRÁD",53,46.7097618,20.1537305
"7",2010-01-04,"FEJÉR",83,47.0939434,18.6088562
"8",2010-01-04,"GYOR-MOSON-SOPRON",31,47.6610134,17.3796437
"9",2010-01-04,"HAJDÚ-BIHAR",95,47.4407848,21.4752281
"10",2010-01-04,"HEVES",30,47.7884409,20.1714412
"11",2010-01-04,"JÁSZ-NAGYKUN-SZOLNOK",69,47.2971598,20.453178
"12",2010-01-04,"KOMÁROM-ESZTERGOM",26,47.6511599,18.2551911
"13",2010-01-04,"NÓGRÁD",16,47.9873616,19.5472495
"14",2010-01-04,"PEST",88,47.4942216,19.0529846
"15",2010-01-04,"SOMOGY",23,46.439656,17.6212956
"16",2010-01-04,"SZABOLCS-SZATMÁR-BEREG",1,48.0297821,22.0040108
"17",2010-01-04,"TOLNA",42,46.4883447,18.5050005
"18",2010-01-04,"VAS",20,47.1371935,16.780898
"19",2010-01-04,"VESZPRÉM",32,47.0933824,17.9080406
"20",2010-01-04,"ZALA",26,46.6713343,16.8894692
"21",2010-01-11,"BUDAPEST",113,47.4978789,19.0402383
"22",2010-01-11,"BARANYA",23,45.9714436,18.1669246
"23",2010-01-11,"BÁCS-KISKUN",52,46.5809294,19.5128532
"24",2010-01-11,"BÉKÉS",11,46.7862993,20.9820736
"25",2010-01-11,"BORSOD-ABAÚJ-ZEMPLÉN",28,48.2397936,21.1353474
"26",2010-01-11,"CSONGRÁD",23,46.7097618,20.1537305
"27",2010-01-11,"FEJÉR",33,47.0939434,18.6088562
"28",2010-01-11,"GYOR-MOSON-SOPRON",21,47.6610134,17.3796437
"29",2010-01-11,"HAJDÚ-BIHAR",44,47.4407848,21.4752281
"30",2010-01-11,"HEVES",24,47.7884409,20.1714412
"31",2010-01-11,"JÁSZ-NAGYKUN-SZOLNOK",29,47.2971598,20.453178
"32",2010-01-11,"KOMÁROM-ESZTERGOM",30,47.6511599,18.2551911
"33",2010-01-11,"NÓGRÁD",14,47.9873616,19.5472495
"34",2010-01-11,"PEST",62,47.4942216,19.0529846
"35",2010-01-11,"SOMOGY",18,46.439656,17.6212956
"36",2010-01-11,"SZABOLCS-SZATMÁR-BEREG",14,48.0297821,22.0040108
"37",2010-01-11,"TOLNA",21,46.4883447,18.5050005
"38",2010-01-11,"VAS",5,47.1371935,16.780898
"39",2010-01-11,"VESZPRÉM",13,47.0933824,17.9080406
"40",2010-01-11,"ZALA",12,46.6713343,16.8894692
"41",2010-01-18,"BUDAPEST",62,47.4978789,19.0402383
"42",2010-01-18,"BARANYA",56,45.9714436,18.1669246
"43",2010-01-18,"BÁCS-KISKUN",20,46.5809294,19.5128532
"44",2010-01-18,"BÉKÉS",11,46.7862993,20.9820736
"45",2010-01-18,"BORSOD-ABAÚJ-ZEMPLÉN",33,48.2397936,21.1353474
"46",2010-01-18,"CSONGRÁD",29,46.7097618,20.1537305
"47",2010-01-18,"FEJÉR",40,47.0939434,18.6088562
"48",2010-01-18,"GYOR-MOSON-SOPRON",21,47.6610134,17.3796437
"49",2010-01-18,"HAJDÚ-BIHAR",46,47.4407848,21.4752281
"50",2010-01-18,"HEVES",18,47.7884409,20.1714412
"51",2010-01-18,"JÁSZ-NAGYKUN-SZOLNOK",27,47.2971598,20.453178
"52",2010-01-18,"KOMÁROM-ESZTERGOM",23,47.6511599,18.2551911
"53",2010-01-18,"NÓGRÁD",13,47.9873616,19.5472495
"54",2010-01-18,"PEST",81,47.4942216,19.0529846
"55",2010-01-18,"SOMOGY",9,46.439656,17.6212956
"56",2010-01-18,"SZABOLCS-SZATMÁR-BEREG",13,48.0297821,22.0040108
"57",2010-01-18,"TOLNA",8,46.4883447,18.5050005
"58",2010-01-18,"VAS",13,47.1371935,16.780898
"59",2010-01-18,"VESZPRÉM",11,47.0933824,17.9080406
"60",2010-01-18,"ZALA",8,46.6713343,16.8894692
"61",2010-01-25,"BUDAPEST",82,47.4978789,19.0402383
"62",2010-01-25,"BARANYA",103,45.9714436,18.1669246
"63",2010-01-25,"BÁCS-KISKUN",52,46.5809294,19.5128532
"64",2010-01-25,"BÉKÉS",3,46.7862993,20.9820736
"65",2010-01-25,"BORSOD-ABAÚJ-ZEMPLÉN",42,48.2397936,21.1353474
"66",2010-01-25,"CSONGRÁD",29,46.7097618,20.1537305
"67",2010-01-25,"FEJÉR",48,47.0939434,18.6088562
"68",2010-01-25,"GYOR-MOSON-SOPRON",38,47.6610134,17.3796437
"69",2010-01-25,"HAJDÚ-BIHAR",77,47.4407848,21.4752281
